id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1,t10d0,t10d1,t11d0,t11d1,t12d0,t12d1,t13d0,t13d1,t14d0,t14d1,t15d0,t15d1,t16d0,t16d1,t17d0,t17d1,t18d0,t18d1,t19d0,t19d1,t20d0,t20d1,t21d0,t21d1,t22d0,t22d1,t23d0,t23d1,t24d0,t24d1,t25d0,t25d1,t26d0,t26d1,t27d0,t27d1,t28d0,t28d1,t29d0,t29d1,t30d0,t30d1,t31d0,t31d1,t32d0,t32d1,t33d0,t33d1,t34d0,t34d1,t35d0,t35d1,t36d0,t36d1,t37d0,t37d1,t38d0,t38d1,t39d0,t39d1
d0.95lr0.1-0,-0.38910142400014214,-2.587933553284903,0.08031604239471386,-18.74407107143422,-3.5802008399833567,-28.011053567773786,-5.245958665719221,-34.5361252179291,-5.020956416439449,-40.70539092254805,-4.405715274633653,47.64866381453093,-3.5558166215120512,52.975958808780085,-1.4566972217697172,56.532623113085755,2.8975600486867634,58.32553364690263,6.496047246547738,61.487513736166726,10.972495975038317,65.08383464591068,15.19746986076756,68.552578706357,18.923683524452105,71.90299465368376,23.321721453567232,74.69738939636625,28.07041042036451,76.19186551285397,32.48591488886781,78.25844203641041,37.29188008345271,78.58177450601978,42.224572662119094,78.58632525197294,46.141793157499876,81.8025972495423,51.276117974456355,80.68884402823967,56.660514617581036,-77.10821473796604,61.963692479511046,77.12339262903093,66.83017952341756,77.47600833988767,72.15093685356337,75.22354772662179,77.0870750827172,76.63801797563916,82.08410247824513,77.8673810204264,86.61366090381746,78.03545252612344,91.41478485214232,79.2066908134936,96.16958697183496,79.920325088219,100.54891542388039,80.98438857531846,104.41998426671968,82.90451568607028,108.20416313999516,83.81828664569362,111.93895387182887,85.8592930425828,115.88995406530226,85.1988822128683,119.76787656928873,84.33346048711465,123.92259981935975,82.22900705187689,127.94695345422822,80.74037913499832,131.47755472080155,79.69223236915782,135.54426571772632,78.99979738723526,138.90511036868378,78.93302397951176
d0.95lr0.1-1,-3.5239219287153847,-0.629832513078063,6.3571810740286985,-10.667216548403028,13.956898966537832,-26.699231741372582,19.20543633225192,-31.971085832446025,24.201839417925317,-39.66317023276091,28.60744156277169,45.195534474990176,33.015584793076464,45.71078110401312,38.353583574462114,47.72269022713328,43.907659428111515,50.15947746937313,48.58756201081231,53.577105866511765,53.59144011357893,56.245250975324986,57.998116470286874,61.85382008935594,61.8903936047711,62.35236637923726,65.76360458509517,65.18042800251338,69.61839425588677,68.17192447054002,74.44484310301324,68.4122224835872,78.99977383648903,69.53677197747795,83.08895736667162,71.3123754054734,86.92475121443637,73.13303579084005,90.46203085116511,75.28011749455496,94.15709600707879,-76.1546564303877,97.59795954228093,76.35557841052854,101.98921193245506,75.45502054097477,105.48735362170525,76.86480181440868,108.92588264356947,74.9885732263024,112.07739047155802,75.91450436397551,115.884465433779,75.48737178372654,119.60838932550747,75.45336877537281,123.064794030495,77.04197222666068,126.30174943383491,78.14451497073598,130.20223186128712,77.21690169558785,134.12264918274002,75.87227835680092,138.20417057630814,72.42915644985258,141.8604365112289,70.2352782212119,145.41307058343676,69.31110167796949,148.42482348524348,68.5828695282944,151.88229508621976,67.67127797233915,155.0964727325989,67.46234053763168,157.66223180170502,68.06666226641529,160.86713033124573,66.57993090846115
d0.95lr0.1-2,2.3144564502011753,-1.8124501024770128,6.945290956495777,-13.016218187579183,14.253007982481602,-25.252179987055218,19.390889349203587,-29.948130331679693,25.172710663982787,-38.16487803548322,29.64464729390085,45.99647222547576,33.244409088918474,52.08666053590107,38.2081037995845,54.933746504137275,43.44886000900527,56.377938247397466,48.030377286985335,54.90242947159219,52.670546664379344,56.039159392337936,57.63887130069133,56.43917386584628,62.37994944336346,57.59355198177176,66.72062181955683,59.57736230709979,71.29982254979247,61.99104431994522,75.50960424867198,63.69495600187646,79.71852248885588,64.70993652599782,83.35881409393909,67.57539670716926,87.45548330928864,67.78307587710923,91.31042995880051,69.81673487513179,94.87929409879162,-72.08774176529943,97.81606437101948,73.51713404019367,101.56614632750141,74.1328938317541,105.30006020568688,71.73480804426839,109.27980319140217,71.26772596801044,112.72159207388754,71.21420327629647,116.6604854998271,70.47138835007561,120.69790349258048,70.11625304482912,123.99665353392787,71.18423650237006,127.39391200251866,71.24931919302185,130.65387105755175,69.73389506019456,134.03278603461388,68.18664495448621,138.21394397306221,65.37268160466438,142.27037878396462,63.49954790352887,146.26534942259352,63.31588436029058,150.14645031192603,63.31566113455157,153.6328304360832,63.42579435037967,157.06842761744517,60.89453432563708,160.0420845307779,60.308487918986934,162.31825302417965,60.70612463711486
d0.95lr0.1-3,-3.2935983246449525,1.0102145153003776,8.418290555424166,-14.287200928704491,13.997466314156,-22.09263581557008,19.67936399209498,-28.95836746802357,25.4870743023363,-34.975652603427264,30.280481489023202,44.2431797784983,34.686434829974075,44.30313289300141,39.88965544820635,45.781406414325346,45.66319048851216,47.74468763901106,50.235868935219315,50.288242423882394,54.76421633626214,54.39777086457225,59.02114268239053,57.348965427628116,63.12620982447835,59.63792999949142,67.34404565473373,62.3660428791474,71.73082258982032,63.47445216307902,75.92193534149752,64.45983123113427,79.93721544355823,64.65018699661616,83.87086151183019,66.31220241985581,88.27627588924176,66.83145150198253,92.4498551750732,68.45230132435455,95.44480013337518,-70.3863609197147,99.10141978229524,71.4390921417851,103.29497021117494,71.89374485988634,106.71320514850281,72.83806339152643,110.63876240680302,74.3079046531299,114.51920725851112,75.03955565911976,118.04208703451421,75.91084244456212,121.7143734738979,75.41712260772495,125.41688107383595,74.53305773933926,129.12762995833052,73.13991369263152,132.9285992000235,70.68744033880989,136.89514710861715,68.72360216361051,140.54834250883695,68.64878957956134,143.60110081601945,70.2358482755694,146.6024694492126,71.33543663845252,149.5012662412493,72.27349927135774,151.98725338069445,73.07449136909989,154.12017196241413,72.7084503143487,156.0935645116252,72.7546605945546,158.42137424740596,71.87962947639834
d0.95lr0.1-4,-4.441003871901964,-0.02390768073231886,7.9258176674271255,-16.11889259882921,13.792289593320884,-21.693568913482423,19.94662215178004,-31.42592209925478,24.24055358009964,-37.18113276622425,29.173554908586564,42.80629076545266,33.19317867566619,49.512578428567664,38.5249343460304,50.08941005434236,44.168095351969555,51.103933295855605,48.825495692785076,55.51781520529806,53.6999518243095,56.930081166391986,58.31778461248283,59.482748399047445,62.367034551265355,62.716514071481726,66.16335328776535,65.4665400164352,70.46384581463039,67.94251106936471,74.37190289200834,69.69150478534988,78.17209287645635,71.29547114842887,82.35750416333171,71.25078619686023,86.45500824201264,72.36165313067531,90.22377691194997,72.69203341319663,93.93380533768885,-73.18938929865502,97.89209721698016,72.31971370020571,102.35661986237069,71.93283690890746,106.62223525930045,70.82478057390418,110.51245793521939,71.10946828956186,114.38617154623739,71.67832290958515,117.6577688550483,73.4213780110305,121.5057613964335,73.50587210485764,125.12391366898409,74.09048778158737,128.5636289588374,73.39882716649089,131.32982101583846,73.96412514919787,134.80927520243822,74.23229710627525,138.23198502359722,74.94674820458017,140.81762087737494,75.11104919971123,144.28454005388883,72.87103289007288,147.35221109543602,71.47860572564701,150.93804357669507,69.59352597130778,154.43428738734752,68.92902780094448,157.66108841733285,68.69856529674881,160.53572191529682,69.11214149686498
d0.95lr0.1-5,-2.9844023120354506,0.25749133903314664,6.702140397424784,-11.08738142477131,13.458912014962284,-21.41475493324754,19.315404030263135,-28.14052298143028,25.22484575661211,-37.44719547126371,30.461747415442304,42.51148972596493,34.964608475344434,49.50927626274059,39.60353990313401,50.92245212907682,44.67568060982945,53.01368322544632,49.14610568219906,53.514048417088205,53.66701348109991,56.383914954578955,56.815703543246904,62.18124217893737,61.271083111378076,65.18088994846445,64.22725775495815,68.30451618122008,68.35248109013367,66.64684209760235,72.55785985748912,67.78203476322852,75.83737146584836,68.8522857609006,80.11648165777399,66.27474853950079,84.60782671979447,67.34652804267142,88.97647389537734,68.96511069710863,93.3457737290786,-70.34011800776796,97.76879539828882,69.09595949698709,102.42323173599708,67.88352870690808,107.01143898468796,68.21086256995625,110.84737966517793,69.69613667507285,114.53394024460486,69.89230045365377,117.85022042946004,69.91701317592403,121.38776100400528,70.45066929658014,125.07511131854878,70.23514264467809,128.20185324559435,72.14454864850305,131.6012587747319,72.11792797315597,135.43178845974236,71.77673335633428,139.66336862674714,70.09873825261667,143.23507801001813,70.49378846864448,146.96907488382203,69.7408930563707,149.71391421147732,70.34841094266325,153.11194741563548,69.20626229568282,156.02326768339026,68.11772028139771,159.0804336295168,68.19534949729473,162.06295592247304,68.22609103308442
d0.95lr0.1-6,-2.473159469912199,0.5068328348445928,8.365899317733009,-14.860128802152921,13.727171905132897,-22.287526894631633,19.396902098697584,-29.348348163389776,24.78951947090775,-32.35177550511864,30.44229094249772,39.25965228131637,35.26883284414849,44.888747919295064,39.87240681890079,52.45370503315119,44.588671641612414,55.563751454198744,49.20143531899761,58.06024759331246,53.63422361237342,60.50410380391476,57.7508653538656,64.46781733990443,61.78354022284469,65.26344996572817,64.6005137574626,67.0247619138518,69.30382300126492,65.07963324884811,73.70203215200235,66.18427088238252,78.4387499843273,64.10268769289755,82.6974664990009,64.88524323210459,86.47479496786899,68.81297036765477,90.91970667728826,69.15714499226166,95.4303143201515,-66.71061948654462,99.54781271987099,67.72623277226694,103.70977845892385,66.98892622168974,107.39585283823338,69.19196457867999,110.52180263941432,72.28870675606133,113.7041978313916,74.30504755100782,116.86617440326113,74.53409636797504,120.73473432086061,74.56478821621359,124.18258698365854,75.46286911241135,127.37843373896392,73.154326475198,130.56790851565248,71.40434992973597,133.5676856207202,71.58076517773337,136.82392635925615,70.99004488913172,139.9359166033934,70.23934690664096,143.70524243732604,68.91853967574434,147.4934119655532,67.78102106129164,151.35756050811594,66.68797756366487,154.91966452536363,66.55090720005019,158.38918936322804,64.90846828843704,161.9132069433789,63.206680079419826
d0.95lr0.1-7,-0.5999199205133181,0.6895833425792913,7.074215308386096,-13.852224152795872,13.622188215948116,-22.67655175001515,19.586077995990077,-31.788125774158427,24.97992596409525,-36.20814286707098,30.27240493924208,40.628986249951026,34.62352953730961,47.16601573522337,38.670544731323965,53.761594119948754,44.11194500583227,53.83010431666667,48.86755505879182,54.44672168590411,53.70476633844876,55.56854798765732,58.328462947023226,57.95565601449145,62.5118532216638,61.84815249396096,65.92100791850385,66.36075525668588,70.11256986286377,68.60665702958984,73.9964191353666,69.43821904723717,78.1560011010693,70.55932742956574,82.36449266052585,70.94705656819204,86.01881791125999,71.17534938346755,90.12734638872573,72.5126353580654,94.0219528971134,-74.14047300774371,97.94234494095477,73.82716137248659,101.91779788613167,73.42006445725144,104.79118014153154,75.06566571040092,108.44730192495089,73.32743096065948,112.14853614289498,74.79684683324207,115.7926353362746,75.74478459509375,119.30030054049716,76.0898844581537,122.75801818978124,74.7610448434999,126.27420840071757,73.49945201438794,130.40556966348635,72.03699319214762,134.24459645950793,71.48630972307996,137.0012455590195,71.9277909036647,139.98020592423813,72.38634116683538,142.85033145947259,72.84363253745514,145.79700705906254,71.54472788504502,149.27393153989803,69.94173735410104,152.83513348786306,67.08541651768076,156.62372816696674,63.543563854775044,160.43100618495404,60.510607221326964
d0.95lr0.1-8,-3.919275734128696,-1.092320825478108,8.738719389602428,-14.69252594963025,14.437206931958258,-25.32275287735721,19.50989927844206,-30.88875890792607,24.665363727619564,-34.06090387972854,30.16167111926788,40.717497611922624,34.71809162351766,47.48410595416222,39.55711699578152,53.98399658438697,44.73508826248021,56.68736849825531,48.78289138655997,60.59589852504859,52.76053446009237,63.634542597795914,56.570940290919076,64.52825066712617,60.763425793347885,62.803990749768694,64.90845851407693,64.41513922404971,68.72046228908482,68.43912247853591,73.05834254983382,70.14735936945371,77.29657884598758,72.87544047819877,80.9498658114385,76.18387852698756,84.89306937431279,74.6848679849016,88.66339200636264,75.26948933238548,92.58073735746399,-74.83701699045392,96.79949627570912,71.06262859039066,100.8996020338061,68.88716280115713,104.78960201056994,70.0155868759253,108.79168741562872,71.01729747268064,113.15180345328383,70.54074066490563,116.92830672251422,70.49840495687928,120.63322027728643,70.71898585218466,123.86388117029763,70.5125552890005,128.05492465811065,67.37526313432693,131.8046043074882,66.93807214308703,135.6211927261069,66.7091438672737,139.72818821241538,65.65420125444916,143.4982703806217,64.15476615830752,147.05675034292636,64.54831019617913,149.9623020637595,65.9680908174272,152.604920194762,66.72323277444774,154.80158366230185,66.9570606038014,158.0865071523325,66.24054039873033,161.44703374145675,64.99631704620076
d0.95lr0.1-9,2.374296480464839,-3.22081975308046,8.24366383524412,-15.00731938422819,13.693767663823209,-24.795912942787695,18.997923365859876,-35.20304310412688,23.884584210444856,-38.45912374739161,28.733777592149114,37.87536195720095,34.30635186555509,44.65402418337292,39.72292301006746,47.09233006292813,45.12465648978679,50.309971587671264,49.05767351839501,54.09012460691011,53.669724131557345,55.19272680676082,58.22357954124778,57.27781959506081,62.58117458973123,58.96583340554111,66.92638563113783,60.43657141577701,71.29396032638493,64.30076684496072,74.57761900351517,68.82838344634554,77.3811826810869,72.22857431878974,81.4782694968112,71.28158069313919,85.34582534427766,70.45423015188256,89.20159515367637,70.53820262043882,92.73138495054577,-71.00203257180995,96.98059517850594,70.2410931805266,100.75726956036685,70.5068394945631,104.02970468058092,73.47401316742994,108.00365870859264,74.33874027262814,112.1693012230302,72.38218538440383,116.37800964297585,72.58414549974746,119.85673733507465,74.74155474021285,123.3296403163156,75.86409400801125,126.72579560456556,76.34726836317301,129.98111741989376,76.36967875421858,133.94021834354953,74.13453166976062,137.96444025668865,72.89127598709682,141.61397121176898,72.54570579253125,144.76902756816335,71.95914067261137,147.96178585923892,70.10597228682285,150.16667886486445,70.0645974819949,152.72669699846773,70.57430466302385,155.6746525553024,70.50212445258585,158.651982260139,70.1437896734269
