id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1,t10d0,t10d1,t11d0,t11d1,t12d0,t12d1,t13d0,t13d1,t14d0,t14d1,t15d0,t15d1,t16d0,t16d1,t17d0,t17d1,t18d0,t18d1,t19d0,t19d1,t20d0,t20d1,t21d0,t21d1,t22d0,t22d1,t23d0,t23d1,t24d0,t24d1,t25d0,t25d1,t26d0,t26d1,t27d0,t27d1,t28d0,t28d1,t29d0,t29d1,t30d0,t30d1,t31d0,t31d1,t32d0,t32d1,t33d0,t33d1,t34d0,t34d1,t35d0,t35d1,t36d0,t36d1,t37d0,t37d1,t38d0,t38d1,t39d0,t39d1,t40d0,t40d1,t41d0,t41d1,t42d0,t42d1,t43d0,t43d1,t44d0,t44d1,t45d0,t45d1,t46d0,t46d1,t47d0,t47d1,t48d0,t48d1,t49d0,t49d1
c0-0,0.01664721965789795,0.018853142857551575,0.025902003049850464,-0.0002864450216293335,0.02319350838661194,0.007242992520332336,0.011654973030090332,0.007144376635551453,0.014640271663665771,0.007055923342704773,0.0016837120056152344,0.011280879378318787,0.024942994117736816,0.013228610157966614,0.019229233264923096,0.02568112313747406,0.019390851259231567,0.024421706795692444,0.006146341562271118,0.040464743971824646,0.01668640971183777,0.04798330366611481,0.008854508399963379,0.053261950612068176,0.030902743339538574,0.04708470404148102,0.03299999237060547,0.03484983742237091,0.010091841220855713,0.028560593724250793,0.017727315425872803,0.025931254029273987,0.013026118278503418,0.03549183905124664,-0.00840061902999878,0.031972602009773254,-0.0069397687911987305,0.02384306490421295,-0.009597331285476685,0.036110445857048035,-0.008867263793945312,0.04092003405094147,-0.0046659111976623535,0.03699629008769989,-0.0076487064361572266,0.0333947092294693,-0.014284491539001465,0.018646791577339172,-0.011913210153579712,-0.004101172089576721,-0.01573386788368225,-0.022479161620140076,-0.020685791969299316,-0.010232195258140564,-0.019709229469299316,-0.02981160581111908,-0.006810247898101807,-0.04319171607494354,-0.0029375553131103516,-0.05165718495845795,0.007335007190704346,-0.06757281720638275,0.021857380867004395,-0.056798890233039856,0.02708488702774048,-0.05643363296985626,0.004240512847900391,-0.06340755522251129,0.016291499137878418,-0.05172605812549591,0.01830875873565674,-0.04096655547618866,0.032755911350250244,-0.032680198550224304,0.06440919637680054,-0.04914088547229767,0.03922224044799805,-0.0466756671667099,0.03366571664810181,-0.03514300286769867,0.03467339277267456,-0.047912850975990295,0.02853977680206299,-0.056372031569480896,0.017278969287872314,-0.05125202238559723,0.015034466981887817,-0.0415278822183609,0.004393517971038818,-0.03147982060909271,0.02317795157432556,-0.0353291779756546,0.00892549753189087,-0.05003257095813751,0.021679043769836426,-0.056850776076316833,0.027413547039031982,-0.05093155801296234,0.024816155433654785,-0.053423091769218445
c0-1,-0.21467623114585876,0.02495686709880829,-0.21006223559379578,0.02095736563205719,-0.23837614059448242,0.024634018540382385,-0.23485368490219116,0.02600400149822235,-0.23908329010009766,0.028872624039649963,-0.2392880916595459,0.029457882046699524,-0.24484789371490479,0.04134412109851837,-0.25763770937919617,0.04555220901966095,-0.26571789383888245,0.051018133759498596,-0.25068897008895874,0.05834318697452545,-0.24522918462753296,0.04550658166408539,-0.2366274893283844,0.044683948159217834,-0.19799208641052246,0.04823826253414154,-0.2102387249469757,0.044490113854408264,-0.2227029800415039,0.04661567509174347,-0.23190036416053772,0.04711158573627472,-0.23274964094161987,0.031348660588264465,-0.23226749897003174,0.02566613256931305,-0.20914578437805176,0.002480342984199524,-0.20721399784088135,-0.004824802279472351,-0.19311678409576416,-0.010258123278617859,-0.1803719699382782,-0.03559179604053497,-0.15747001767158508,-0.03837408125400543,-0.16903723776340485,-0.046349093317985535,-0.1735597550868988,-0.05561624467372894,-0.17693686485290527,-0.06213037669658661,-0.17646527290344238,-0.07259248197078705,-0.19969218969345093,-0.07234857976436615,-0.21835127472877502,-0.09010879695415497,-0.20949724316596985,-0.09460459649562836,-0.21115289628505707,-0.09586222469806671,-0.2164929360151291,-0.07764510810375214,-0.23639121651649475,-0.056883588433265686,-0.24217191338539124,-0.054489776492118835,-0.2553195655345917,-0.04810802638530731,-0.2565821409225464,-0.04832504689693451,-0.25484228134155273,-0.042935505509376526,-0.2674703598022461,-0.03348122537136078,-0.2569410502910614,-0.049688681960105896,-0.25813591480255127,-0.060958102345466614,-0.26566582918167114,-0.0663280338048935,-0.24640905857086182,-0.07141052186489105,-0.2635785937309265,-0.09343181550502777,-0.26428937911987305,-0.09517483413219452,-0.2632860541343689,-0.08187858760356903,-0.2692526578903198,-0.06019963324069977,-0.25377556681632996,-0.06126384437084198,-0.2576411962509155,-0.0790475457906723,-0.2731369137763977,-0.07491971552371979,-0.2632862627506256,-0.06148959696292877
c0-2,0.2640400528907776,0.0021313875913619995,0.2829768657684326,0.013976678252220154,0.2961903214454651,0.012939497828483582,0.266640841960907,0.015942588448524475,0.24929624795913696,0.024405136704444885,0.23745131492614746,0.0331888347864151,0.2218034267425537,0.026378288865089417,0.21395772695541382,0.04781372845172882,0.2006816267967224,0.06234760582447052,0.19063609838485718,0.04810740053653717,0.17188096046447754,0.05058731138706207,0.15318644046783447,0.051255837082862854,0.16782283782958984,0.06376595795154572,0.1729799509048462,0.053928032517433167,0.1634170114994049,0.05320258438587189,0.16610878705978394,0.0564853698015213,0.18123716115951538,0.0582209974527359,0.19033288955688477,0.06220008432865143,0.1994805932044983,0.05585016310214996,0.21294277906417847,0.06346724927425385,0.21967560052871704,0.0618642121553421,0.23685091733932495,0.06714870035648346,0.22776001691818237,0.05186621844768524,0.20143800973892212,0.07238258421421051,0.21747863292694092,0.0806160718202591,0.2106350064277649,0.0831381231546402,0.2055056095123291,0.07549028098583221,0.20322418212890625,0.06696419417858124,0.20101481676101685,0.0811181515455246,0.18136319518089294,0.08732880651950836,0.20117539167404175,0.06721718609333038,0.20974642038345337,0.0732947438955307,0.20391643047332764,0.06167156994342804,0.20998471975326538,0.08321605622768402,0.21328532695770264,0.06784002482891083,0.2163723111152649,0.060281410813331604,0.21459466218948364,0.050812676548957825,0.212885320186615,0.059486642479896545,0.23471665382385254,0.0669601708650589,0.2330787181854248,0.0704144686460495,0.23022431135177612,0.07037349045276642,0.20619994401931763,0.07074971497058868,0.1950487494468689,0.05816476047039032,0.19002002477645874,0.0620758980512619,0.17015886306762695,0.06329979002475739,0.16333067417144775,0.07328148186206818,0.1712953746318817,0.06307734549045563,0.1916925311088562,0.06160275638103485,0.17173871397972107,0.07319082319736481,0.17966324090957642,0.09505678713321686
c0-3,0.08262544870376587,0.015034958720207214,0.07511132955551147,-0.0009756535291671753,0.046709269285202026,-0.011614575982093811,0.05703610181808472,-0.006735309958457947,0.04800349473953247,-0.013833567500114441,0.0244082510471344,0.003607645630836487,0.014654874801635742,0.011762097477912903,0.0057125091552734375,0.019244566559791565,-0.0033426880836486816,0.016507819294929504,-0.019299566745758057,0.030253514647483826,0.006974667310714722,0.029372408986091614,0.0013906359672546387,0.04973243176937103,0.006124317646026611,0.036432936787605286,0.012584984302520752,0.0264558345079422,0.009386986494064331,0.04660464823246002,0.00196799635887146,0.0666351169347763,0.026826143264770508,0.05235825479030609,0.025750458240509033,0.05544860661029816,0.012046098709106445,0.03185845911502838,0.025449931621551514,0.024558797478675842,-0.0006221234798431396,0.015664294362068176,0.006423354148864746,0.019831284880638123,0.015900224447250366,0.055369988083839417,0.019686996936798096,0.03135530650615692,0.010429739952087402,0.036781683564186096,-0.017536401748657227,0.030307188630104065,-0.045782268047332764,0.04456378519535065,-0.055758386850357056,0.051990166306495667,-0.07231387495994568,0.02079688012599945,-0.05956849455833435,0.02126254141330719,-0.05708390474319458,0.012807056307792664,-0.06460878252983093,0.01914168894290924,-0.051406532526016235,0.041024282574653625,-0.06530261039733887,0.06865490972995758,-0.056715041399002075,0.08701978623867035,-0.04219833016395569,0.09338118135929108,-0.05242437124252319,0.11703179776668549,-0.042291998863220215,0.1221252828836441,-0.041507333517074585,0.13079892098903656,-0.03654816746711731,0.12208427488803864,-0.0495358407497406,0.13687707483768463,-0.06716486811637878,0.12090809643268585,-0.0445537269115448,0.11102591454982758,-0.04993695020675659,0.08778120577335358,-0.036056458950042725,0.06343169510364532,-0.030923426151275635,0.07083986699581146,-0.05440981686115265,0.053774699568748474,-0.06806126236915588,0.05264441668987274,-0.07359558343887329,0.06041766703128815,-0.08363157510757446,0.07517446577548981
c0-4,0.011662065982818604,0.01459832489490509,0.021669626235961914,-0.0041341036558151245,0.030665844678878784,-0.013169631361961365,0.022708922624588013,-0.006260380148887634,0.02964961528778076,-0.016661331057548523,0.00419202446937561,-0.024058029055595398,0.010702133178710938,-0.057808324694633484,0.007192015647888184,-0.07293771207332611,0.003458857536315918,-0.05242796242237091,0.004413008689880371,-0.05383233726024628,0.0072724223136901855,-0.0354931503534317,0.017494022846221924,-0.0234689861536026,0.01755237579345703,-0.018794938921928406,0.055335283279418945,-0.014781579375267029,0.04516434669494629,-0.00863717496395111,0.016297101974487305,-0.008282676339149475,0.013821840286254883,-0.027931347489356995,0.024480313062667847,-0.021772250533103943,0.0358353853225708,-0.006261780858039856,0.013259649276733398,0.00915767252445221,0.02503061294555664,0.006006315350532532,0.022220075130462646,0.024761512875556946,0.0030457377433776855,0.052845075726509094,-0.00502169132232666,0.046865954995155334,-0.0038164854049682617,0.054913416504859924,0.003847837448120117,0.04445256292819977,-0.012575626373291016,0.04006455838680267,-0.006485939025878906,0.04077054560184479,-0.005247235298156738,0.04230721294879913,0.005384504795074463,0.0429503470659256,0.01949608325958252,0.07224048674106598,0.017595887184143066,0.09045036137104034,0.012366324663162231,0.08504177629947662,-0.00030928850173950195,0.10347415506839752,-0.0018329918384552002,0.11580310761928558,-0.002546340227127075,0.12496994435787201,-0.04972580075263977,0.13516353070735931,-0.04780089855194092,0.13386113941669464,-0.045460641384124756,0.1142316609621048,-0.0637311339378357,0.11665908992290497,-0.08593639731407166,0.12213708460330963,-0.06266069412231445,0.1248588114976883,-0.05806863307952881,0.10702170431613922,-0.04163822531700134,0.11674706637859344,-0.04074704647064209,0.11975790560245514,-0.04337674379348755,0.12765125930309296,-0.02449476718902588,0.1219383031129837,-0.04832583665847778,0.13933201134204865,-0.04909035563468933,0.14566214382648468,-0.06315898895263672,0.15744085609912872
c0-5,0.1919955015182495,0.005243852734565735,0.20225542783737183,-0.010302916169166565,0.19217020273208618,-0.004750922322273254,0.19710278511047363,0.0015046745538711548,0.17941802740097046,-0.003619775176048279,0.18378698825836182,-0.032127752900123596,0.20365017652511597,-0.044883474707603455,0.1946890950202942,-0.02828897535800934,0.19864824414253235,-0.01225908100605011,0.19290807843208313,0.0003282874822616577,0.21098625659942627,-0.0055011361837387085,0.22149312496185303,0.012232020497322083,0.2278076410293579,-0.0016292780637741089,0.22595107555389404,0.00439627468585968,0.22030091285705566,-0.007376477122306824,0.22032320499420166,-0.019658252596855164,0.24138134717941284,-0.035367026925086975,0.2376536726951599,-0.05774460732936859,0.23936474323272705,-0.047263458371162415,0.2523024082183838,-0.08181942999362946,0.2561137080192566,-0.08050699532032013,0.2689085602760315,-0.07913698256015778,0.2562936544418335,-0.09111292660236359,0.27849048376083374,-0.09603486955165863,0.282501757144928,-0.06960378587245941,0.3240653872489929,-0.060568198561668396,0.32153820991516113,-0.0483890026807785,0.31104111671447754,-0.05522598326206207,0.30929940938949585,-0.05910094082355499,0.29833418130874634,-0.06618903577327728,0.2728908658027649,-0.07717634737491608,0.2521362900733948,-0.09026645123958588,0.2594950795173645,-0.08320455253124237,0.24000650644302368,-0.09153337776660919,0.2383926510810852,-0.1129092127084732,0.2333385944366455,-0.13623061776161194,0.21635007858276367,-0.1174200028181076,0.2512633204460144,-0.09730295836925507,0.22307461500167847,-0.10488240420818329,0.23535484075546265,-0.1135673075914383,0.277210533618927,-0.11592254042625427,0.28061747550964355,-0.11197568476200104,0.2770042419433594,-0.09788477420806885,0.287773072719574,-0.10380007326602936,0.2905462384223938,-0.1182851493358612,0.2821952700614929,-0.11246834695339203,0.26673245429992676,-0.11754843592643738,0.23117542266845703,-0.12125648558139801,0.2501834034919739,-0.13975319266319275,0.23347395658493042,-0.13903820514678955
c0-6,-0.12633433938026428,0.0031061917543411255,-0.13871516287326813,-0.006081566214561462,-0.14548569917678833,0.005967333912849426,-0.1485191285610199,0.01228363811969757,-0.10898923873901367,0.029617682099342346,-0.09674879908561707,0.03630514442920685,-0.07473918795585632,0.01636163890361786,-0.11421218514442444,0.02076418697834015,-0.07875782251358032,0.005577847361564636,-0.09033775329589844,-0.02070559561252594,-0.12674376368522644,-0.03468571603298187,-0.1236463189125061,-0.0213003009557724,-0.12775404751300812,-0.01263420283794403,-0.11764916777610779,0.0024553686380386353,-0.12121537327766418,-0.0077296048402786255,-0.11609154939651489,-0.01610235869884491,-0.1443672478199005,-0.05522416532039642,-0.1393006592988968,-0.053330764174461365,-0.15142938494682312,-0.06627361476421356,-0.11791817843914032,-0.08255986869335175,-0.11802144348621368,-0.09398330748081207,-0.11374688148498535,-0.08915446698665619,-0.11383238434791565,-0.09641723334789276,-0.10979990661144257,-0.0836314707994461,-0.12052875757217407,-0.08540458977222443,-0.11963260173797607,-0.1151805967092514,-0.12069272994995117,-0.10271583497524261,-0.14333504438400269,-0.10121951997280121,-0.13319841027259827,-0.08882968127727509,-0.12179926037788391,-0.09010486304759979,-0.09159892797470093,-0.07713480293750763,-0.07994581758975983,-0.05759693682193756,-0.07569524645805359,-0.03861866891384125,-0.06712421774864197,-0.02630208432674408,-0.0653204470872879,-0.02242247760295868,-0.08288770914077759,-0.01034824550151825,-0.08544102311134338,-0.04056234657764435,-0.07663926482200623,-0.04638276994228363,-0.05288265645503998,-0.06367315351963043,-0.0427585244178772,-0.06082753837108612,-0.023452281951904297,-0.08217747509479523,-0.03165361285209656,-0.08920176327228546,-0.025538623332977295,-0.08216212689876556,-0.006225854158401489,-0.10063223540782928,0.006505906581878662,-0.10343800485134125,0.014818310737609863,-0.10379941761493683,0.024311065673828125,-0.13805271685123444,0.018875181674957275,-0.12441454827785492,0.024668782949447632,-0.12044046819210052,0.03366297483444214,-0.10298161208629608
c0-7,0.44808077812194824,0.009606525301933289,0.43470078706741333,0.02012135088443756,0.4227548837661743,0.017768219113349915,0.43865203857421875,0.023389354348182678,0.4501522183418274,-0.0012680143117904663,0.4234068989753723,-0.013007596135139465,0.44583600759506226,-0.022308632731437683,0.4509803056716919,-0.025397077202796936,0.42950159311294556,-0.02430860698223114,0.43566280603408813,0.016014710068702698,0.4276288151741028,0.04072965681552887,0.4236873984336853,0.028919175267219543,0.41317909955978394,0.02418603003025055,0.4421764612197876,0.03556157648563385,0.46379226446151733,0.03036727011203766,0.46145564317703247,0.01498432457447052,0.4613475203514099,0.02695600688457489,0.4498216509819031,0.04652048647403717,0.4673963189125061,0.05884756147861481,0.4340629577636719,0.07645361125469208,0.4386900067329407,0.0865592211484909,0.46523529291152954,0.09244604408740997,0.4870718717575073,0.06679601967334747,0.4808521866798401,0.058581963181495667,0.4680479168891907,0.08175154030323029,0.45737725496292114,0.06788583099842072,0.43264734745025635,0.07241524755954742,0.4302505850791931,0.07067714631557465,0.4321368932723999,0.07545827329158783,0.45091599225997925,0.07896877825260162,0.42878907918930054,0.06189240515232086,0.4405292868614197,0.0635852962732315,0.459553062915802,0.06106893718242645,0.4181593060493469,0.05795450508594513,0.39698314666748047,0.04485465586185455,0.4276816248893738,0.049115195870399475,0.39803099632263184,0.029561921954154968,0.40567851066589355,0.022655203938484192,0.4038047194480896,0.02594168484210968,0.3999740481376648,0.02854396402835846,0.39596885442733765,-0.008596286177635193,0.38936108350753784,0.0065241605043411255,0.3781740069389343,0.021887794137001038,0.3771689534187317,-0.0014687031507492065,0.3954452872276306,0.02200968563556671,0.4003846049308777,0.029753640294075012,0.42402368783950806,0.05707778036594391,0.4055643677711487,0.0627625435590744,0.3972574472427368,0.08667589724063873,0.40804553031921387,0.1073308140039444
c0-8,-0.09364600479602814,0.02048848569393158,-0.0899745523929596,0.03370203077793121,-0.08460251986980438,0.027760609984397888,-0.0795404464006424,0.005100861191749573,-0.06990048289299011,0.007514342665672302,-0.07876498997211456,0.015485122799873352,-0.08855810761451721,0.015460416674613953,-0.06341442465782166,0.015080079436302185,-0.06015460193157196,0.023237302899360657,-0.06734782457351685,0.029559537768363953,-0.07817879319190979,0.022242650389671326,-0.06395953893661499,0.01723434031009674,-0.04758036136627197,0.009624257683753967,-0.06251595914363861,-0.006857529282569885,-0.06070810556411743,-0.009178534150123596,-0.05953782796859741,-0.0037163347005844116,-0.051658809185028076,-0.008276686072349548,-0.04853641986846924,-0.0007802993059158325,-0.0209466814994812,-0.006097033619880676,-0.01193934679031372,0.016753509640693665,-0.02145370841026306,-0.006822273135185242,-0.008743822574615479,-0.0037875622510910034,-0.019687950611114502,-0.013017937541007996,-6.526708602905273e-05,-0.0194423645734787,0.014544308185577393,-0.013268455862998962,0.03537902235984802,-0.02153603732585907,0.020147383213043213,-0.016246095299720764,0.005931586027145386,-0.022628769278526306,0.0477769672870636,-0.034981951117515564,0.04656475782394409,-0.02846182882785797,0.036536067724227905,-0.014994516968727112,0.03004401922225952,0.013398602604866028,0.021359384059906006,0.012313440442085266,0.03488311171531677,0.040950849652290344,0.019988596439361572,0.05436740815639496,0.0354655385017395,0.07950522005558014,0.0383678674697876,0.0633959025144577,0.0068738460540771484,0.04987327754497528,-0.006306052207946777,0.05385462939739227,-0.003972411155700684,0.04839979112148285,-0.01095128059387207,0.0627642422914505,-0.025231778621673584,0.07791097462177277,-0.024800151586532593,0.07203744351863861,-0.017482101917266846,0.08207400143146515,-0.025202125310897827,0.09038032591342926,-0.023933708667755127,0.10639284551143646,-0.02915889024734497,0.11288781464099884,-0.021720975637435913,0.11548878252506256,-0.03933236002922058,0.11716650426387787,-0.03218483924865723,0.12481178343296051
c0-9,-0.18285763263702393,0.03189103305339813,-0.1484011709690094,0.03660412132740021,-0.12817105650901794,0.014548644423484802,-0.08156448602676392,0.001521483063697815,-0.10983327031135559,0.0068723708391189575,-0.10346628725528717,-0.015117660164833069,-0.11088569462299347,-0.02119879424571991,-0.07829077541828156,-0.01979897916316986,-0.07811993360519409,-0.01638476550579071,-0.047475069761276245,-0.020496293902397156,-0.04063171148300171,-0.02201928198337555,-0.01264345645904541,-0.018857553601264954,-0.013647258281707764,-0.017411693930625916,-0.031646907329559326,-0.03099440038204193,-0.04198700189590454,-0.06882552802562714,-0.05509467422962189,-0.10326535999774933,-0.028605997562408447,-0.09565906226634979,-0.023420512676239014,-0.06996969878673553,0.012794137001037598,-0.07393519580364227,0.008558183908462524,-0.05879347026348114,-0.012335479259490967,-0.06350819766521454,-0.00040212273597717285,-0.05089859664440155,0.005109071731567383,-0.061933472752571106,0.014742136001586914,-0.053046271204948425,0.02078920602798462,-0.05434645712375641,0.03313630819320679,-0.05369766056537628,0.053607285022735596,-0.052127137780189514,0.0495067834854126,-0.045733556151390076,0.021338343620300293,-0.06034298241138458,0.01266220211982727,-0.050691649317741394,-0.0018153786659240723,-0.037881895899772644,0.007070779800415039,-0.04176612198352814,-0.01965746283531189,-0.04554875195026398,-0.006730794906616211,-0.018527016043663025,0.010281890630722046,-0.03420393168926239,0.03618907928466797,-0.055608853697776794,0.023870110511779785,-0.05368058383464813,0.04028427600860596,-0.05196927487850189,0.025241553783416748,-0.036477670073509216,0.015132993459701538,-0.00840325653553009,0.016090750694274902,-0.019697710871696472,0.028040707111358643,-0.03201068937778473,0.011354148387908936,-0.03521154820919037,0.014727294445037842,-0.02789364755153656,-0.0011832714080810547,-0.03304766118526459,-0.013078093528747559,-0.03071485459804535,-0.05209830403327942,-0.03442315757274628,-0.05689343810081482,-0.0352255254983902,-0.06994819641113281,-0.050382718443870544,-0.08395862579345703,-0.06851677596569061
