id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1,t10d0,t10d1,t11d0,t11d1,t12d0,t12d1,t13d0,t13d1,t14d0,t14d1,t15d0,t15d1,t16d0,t16d1,t17d0,t17d1,t18d0,t18d1
ata-37919,27.390984,7.835641,-12.576376,-26.031456,-26.774118,-0.5758802,-33.259754,-4.030468,29.13986,6.185066,-29.722254,-13.473546,-7.050254,-27.968283,32.84457,1.2649395,-22.294376,-20.458342,24.931149,-19.607744,30.401155,-6.139253,-15.738038,-26.726576,-1.7284263,-29.595524,11.775625,25.822338,6.645037,28.859684,-21.505281,18.759876,13.897303,25.490215,30.206491,1.7880478,21.400318,23.337208
ata-38138,27.968697,11.078513,-10.046744,-27.469685,-29.352854,2.7241912,-31.43819,-9.816298,30.540201,4.0900464,-27.41549,-17.562405,-6.459902,-31.052464,33.71673,3.9475086,-24.789423,-21.361998,27.286179,-18.889872,32.49797,-4.907856,-16.271597,-29.955198,-0.32433873,-32.28719,14.187288,27.383007,7.4750376,31.366873,-23.057972,21.60897,14.688235,28.289207,33.33973,1.7569237,21.886635,25.970337
ata-38162,31.01107,12.205538,-11.026796,-29.464317,-32.047497,2.6513178,-34.58865,-9.429663,33.98134,5.0911684,-29.972383,-18.948648,-9.073128,-34.042194,37.823956,3.794617,-25.961252,-25.013111,30.932934,-18.866232,35.341114,-6.7129126,-15.022129,-33.77811,2.4364173,-34.3162,17.339727,28.328344,5.026188,35.31981,-23.797277,25.90135,14.294187,32.820198,37.07795,-0.300868,26.353569,26.880028
ata-38225,-13.699318,4.2894435,16.854136,4.7280755,13.358796,11.284635,12.320001,-13.121403,-4.9513288,-13.457965,18.749548,0.008009929,17.327555,9.7799,-12.895404,12.172852,4.403497,19.56885,-16.721512,-13.045238,-1.4679103,23.824896,-6.955769,17.471998,-14.250725,14.042594,-20.997559,-5.606717,12.930984,-12.783488,-10.154669,-24.619486,9.194833,-15.684042,-17.5431,12.765717,-28.652195,5.6943526
ata-38230,30.304695,12.854049,-11.9562435,-29.499899,-33.095264,2.8628325,-35.56992,-8.727207,33.87858,3.8106048,-31.227919,-18.792099,-7.9888797,-34.237778,37.0827,4.872714,-26.954609,-24.198833,30.299755,-20.342077,35.536648,-5.2651653,-16.774132,-33.421864,0.99155575,-34.94178,16.222698,29.398369,6.491823,34.897797,-24.750643,25.041483,15.552791,32.208782,36.924133,1.0929416,25.21218,27.65437
ata-38246,28.538305,10.552629,-10.733938,-27.62396,-29.795254,2.1880941,-31.870527,-9.387169,30.526747,4.6367,-27.859638,-17.100101,-7.0703454,-30.958282,33.97739,3.105165,-24.430351,-21.9276,27.278273,-19.676622,32.312523,-5.7517233,-15.480163,-29.452477,0.023192702,-31.529171,14.109136,26.419325,6.376896,31.198517,-22.657963,22.44971,13.97907,28.93079,33.758694,0.8989798,23.037848,24.9015
ata-38279,22.068981,7.073676,-7.3136234,-19.36351,-21.679216,1.3593311,-23.128681,-8.3109865,23.312273,2.0309389,-18.310032,-13.656432,-4.335994,-23.570766,26.014824,3.5672126,-19.266161,-15.171328,19.694225,-14.781424,25.256012,-2.6249716,-14.440113,-19.628286,-2.3518429,-23.15838,8.130148,21.105883,6.0415845,23.41062,-16.98501,17.549845,9.686016,22.598078,26.57629,-0.52461076,17.300179,20.30858
ata-38287,28.553497,10.86191,-10.544203,-27.730988,-29.69859,2.359004,-31.943588,-9.458572,30.6871,4.537675,-28.123375,-17.32276,-6.976773,-31.195688,34.06286,3.4437683,-24.694244,-21.872126,27.411453,-19.368036,32.5379,-5.4003015,-15.907856,-29.760044,-0.14381605,-32.029926,14.219269,27.059465,6.9030614,31.465355,-22.896091,22.12811,14.375037,28.748228,33.688995,1.3388622,22.606485,25.587479
ata-38508,-15.935595,4.7915697,12.599212,8.353347,13.805077,9.080632,14.6122465,-5.1427264,-11.162738,-15.263317,22.646828,-4.2986608,22.27314,9.626796,-18.546556,14.266039,2.212736,23.611774,-21.964714,-1.8496231,-11.575934,20.067368,-2.8309484,23.7203,-18.858372,15.435616,-22.998278,-6.525855,10.11068,-18.660238,0.4099356,-21.093977,5.355737,-24.742685,-18.133013,18.307178,-26.51223,-5.8615465
ata-38617,2.3500211,5.585048,5.008875,-3.7795994,-1.8958547,5.7208877,0.0509456,-6.0124097,2.2492707,-6.9975953,4.4053674,-4.0349226,8.337184,-2.5058146,0.20321423,6.3099627,-3.951692,5.096629,-4.361544,-4.2876973,1.431543,6.3752937,-4.169706,3.358053,-6.354366,-0.15217206,-5.9773493,1.4880205,5.2787595,-2.0659225,-3.2105918,-5.6393456,4.909274,-4.4956512,0.8207418,11.406925,-10.827516,8.275428
