id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1
a-0,-2.1513938903808594,1.3312056064605713,-1.8505754470825195,1.1194289922714233,-1.667477011680603,1.0800992250442505,-1.5573910474777222,1.0503137111663818,-1.494560718536377,1.0355387926101685,-1.465421199798584,1.0264371633529663,-1.4517314434051514,1.0214301347732544,-1.444886326789856,1.018926739692688,-1.4414640665054321,1.0176750421524048,-1.4397526979446411,1.017048954963684
a-1,-1.5817619562149048,1.1651296615600586,-1.5895609855651855,1.281415581703186,-1.528383731842041,1.2133417129516602,-1.474760890007019,1.113598108291626,-1.4504170417785645,1.0604420900344849,-1.4405202865600586,1.0344889163970947,-1.4392268657684326,1.0257632732391357,-1.4385865926742554,1.0213626623153687,-1.4383140802383423,1.0188928842544556,-1.4381778240203857,1.017657995223999
a-10,-1.5377438068389893,0.9863889217376709,-1.5299915075302124,1.0128127336502075,-1.4938044548034668,0.9936352372169495,-1.4613546133041382,1.0015002489089966,-1.446467399597168,1.0057510137557983,-1.4422540664672852,1.0110868215560913,-1.440147876739502,1.013755202293396,-1.4390946626663208,1.0150889158248901,-1.4385679960250854,1.0157560110092163,-1.4383047819137573,1.016089677810669
a-100,-1.791566252708435,1.089167833328247,-1.7430294752120972,1.2761427164077759,-1.5899090766906738,1.1591321229934692,-1.5054454803466797,1.0771604776382446,-1.4641526937484741,1.0347005128860474,-1.4492181539535522,1.0237072706222534,-1.4436298608779907,1.020065426826477,-1.4408354759216309,1.0182442665100098,-1.4394383430480957,1.017333745956421,-1.4387401342391968,1.016878366470337
a-101,-1.7606966495513916,0.7801962494850159,-1.6212042570114136,0.903191089630127,-1.5522392988204956,0.9650530815124512,-1.487473964691162,0.9846699237823486,-1.4593234062194824,0.9965522289276123,-1.4486825466156006,1.0064877271652222,-1.443361759185791,1.0114551782608032,-1.4407020807266235,1.0139397382736206,-1.4393714666366577,1.015181064605713,-1.438706398010254,1.0158021450042725
a-102,-2.0739564895629883,0.7932788729667664,-1.7909694910049438,1.0539175271987915,-1.6029530763626099,1.066848874092102,-1.5192092657089233,1.0384665727615356,-1.4727275371551514,1.0213991403579712,-1.4496824741363525,1.0127180814743042,-1.4431806802749634,1.0141481161117554,-1.4406095743179321,1.0152931213378906,-1.439325213432312,1.0158579349517822,-1.438683271408081,1.0161405801773071
a-103,-1.1287153959274292,0.49527010321617126,-1.3898391723632812,0.8673231601715088,-1.4282575845718384,0.9544950723648071,-1.4256014823913574,0.9766526818275452,-1.4311561584472656,0.996362566947937,-1.4345449209213257,1.0066999197006226,-1.4362387657165527,1.0118685960769653,-1.4370863437652588,1.0144529342651367,-1.4375375509262085,1.015584945678711,-1.4377893209457397,1.0160040855407715
a-104,-1.591442584991455,1.2033647298812866,-1.570818543434143,1.125562071800232,-1.5212724208831787,1.0549124479293823,-1.4811122417449951,1.0384937524795532,-1.4595227241516113,1.027765154838562,-1.4487638473510742,1.0221960544586182,-1.443402647972107,1.019309639930725,-1.4407222270965576,1.017866611480713,-1.4393819570541382,1.017144799232483,-1.4387116432189941,1.0167840719223022
a-105,-1.8662289381027222,1.062987208366394,-1.6591144800186157,1.0756028890609741,-1.5440181493759155,1.0608490705490112,-1.493044376373291,1.045570731163025,-1.459155797958374,1.0384544134140015,-1.4468070268630981,1.029991865158081,-1.4423192739486694,1.0234230756759644,-1.4401801824569702,1.019923210144043,-1.4391108751296997,1.0181732177734375,-1.438576340675354,1.0172983407974243
a-106,-1.4053525924682617,1.5943384170532227,-1.5191364288330078,1.299439549446106,-1.487897276878357,1.1709184646606445,-1.466489553451538,1.1020814180374146,-1.4537850618362427,1.061261773109436,-1.4459130764007568,1.0388425588607788,-1.4419772624969482,1.0276325941085815,-1.4400092363357544,1.022027850151062,-1.439025640487671,1.0192257165908813,-1.4385337829589844,1.0178245306015015
