id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1,t10d0,t10d1,t11d0,t11d1,t12d0,t12d1,t13d0,t13d1,t14d0,t14d1,t15d0,t15d1,t16d0,t16d1,t17d0,t17d1,t18d0,t18d1,t19d0,t19d1,t20d0,t20d1,t21d0,t21d1,t22d0,t22d1,t23d0,t23d1,t24d0,t24d1,t25d0,t25d1,t26d0,t26d1,t27d0,t27d1,t28d0,t28d1,t29d0,t29d1,t30d0,t30d1,t31d0,t31d1,t32d0,t32d1,t33d0,t33d1,t34d0,t34d1,t35d0,t35d1,t36d0,t36d1,t37d0,t37d1,t38d0,t38d1,t39d0,t39d1
d0.95lr0.1-10,-96.06364,49.154884,22.079653,-43.621696,18.149092,-42.32462,14.91404,-42.010693,12.00231,-40.0942,10.537619,-39.212685,8.212196,-36.242023,5.9437475,-34.234787,4.8594174,-33.501797,2.6505325,-30.363955,2.1006773,-29.590948,0.8361968,-26.39188,0.93988776,-25.120049,0.6660406,-19.169155,0.596397,-18.834625,0.5952677,-18.269033,-0.709463,-11.499691,-0.7459614,-11.269098,-1.9019604,-5.569273,-2.0679517,-5.239799,-2.187451,-4.957202,-9.966308,-5.375181,-10.345476,-5.3146563,-10.469649,-5.0898304,-13.952399,0.9255171,-14.271909,1.0854079,-14.6652565,1.1862522,-14.94508,1.2767478,-19.500378,6.140166,-19.938663,6.523053,-20.287333,6.776279,-20.679153,6.9880075,-20.940437,7.130525,-21.151907,7.24609,-31.159298,14.617298,-31.192533,14.48639,-31.37014,14.1354065,-31.469997,14.008551,-31.55841,13.8934355,-31.624392,13.838026
d0.95lr0.1-11,13.103557,2.166158,22.182467,-42.995308,18.259592,-42.48986,14.970517,-41.49671,13.040638,-40.311825,8.840311,-38.2319,8.152878,-37.753223,5.2209296,-35.047592,2.5832872,-33.123714,1.8790113,-32.065422,0.098462425,-30.694902,-0.8246703,-27.991564,-1.3201106,-23.83983,-1.5446151,-22.928888,-1.6070964,-20.768835,-0.807171,-17.735435,-2.437548,-13.474276,-2.6540523,-13.017344,-4.505695,-7.7513375,-4.7162647,-7.340998,-4.902036,-6.8288074,-8.099732,-1.5331086,-8.456435,-1.2778659,-9.017686,-0.9379014,-9.680773,-0.73450655,-10.2371235,-0.641312,-18.74705,-0.9910725,-19.123646,-0.9052202,-19.60744,-0.8325512,-20.555714,-0.5018149,-21.205189,-0.17076755,-21.790089,0.10582397,-22.241798,0.3178624,-27.176096,4.063201,-27.572128,4.2645035,-27.928026,4.4554687,-28.241121,4.6478353,-31.4607,8.893687,-31.524063,9.021587,-31.551664,9.084549
d0.95lr0.1-12,29.008581,-10.422579,22.131237,-43.79722,18.632904,-42.893627,14.515018,-43.24631,11.71038,-41.871944,10.780396,-41.19512,7.6501303,-36.537033,6.900175,-35.628777,4.5318713,-32.339466,3.8874292,-31.748652,1.8913764,-29.149767,1.3429323,-27.658257,0.71997505,-23.743319,0.51232386,-22.971155,-0.6261787,-19.08798,-0.6973633,-18.627182,-0.66790557,-13.580447,-0.92325777,-12.752473,-1.145753,-12.23952,-5.192744,-6.019689,-5.431561,-5.6515265,-7.918973,-3.208263,-8.482061,-2.7676382,-8.8593235,-2.4165304,-12.02784,4.142318,-12.240821,4.4148564,-12.480824,4.562099,-12.924834,4.807637,-20.052977,5.635309,-20.363642,5.6938343,-20.804771,5.8574824,-21.208298,5.991649,-21.782578,6.221111,-28.064205,7.0676847,-28.41807,7.1020417,-28.937727,7.1013436,-29.590418,7.1240196,-30.0064,7.1403294,-30.513668,7.3064923,-30.694275,7.379181
d0.95lr0.1-13,27.767147,3.6181784,22.159605,-44.026455,18.716282,-42.84406,15.693436,-42.601,11.841283,-40.913742,9.944444,-40.389053,8.494578,-37.18176,6.360008,-34.9177,4.4920053,-33.15131,3.7142909,-29.642729,3.4608817,-28.907787,1.1167254,-25.857992,-0.48050144,-23.32112,-1.0088321,-22.303661,-2.6203926,-18.222372,-2.911783,-16.284033,-3.020937,-15.899031,-3.1257648,-12.161712,-3.5246935,-7.2397795,-3.666271,-6.8292823,-3.9981456,-5.814351,-7.92588,1.5803776,-8.166942,1.7598684,-8.420384,1.9122821,-8.805585,2.174634,-13.258041,6.3167706,-13.497356,6.5413184,-13.719098,6.7238774,-22.580404,8.306466,-22.89947,8.297728,-23.340452,8.221769,-23.950481,8.134735,-24.558289,8.06353,-25.052532,8.037388,-25.44524,8.05093,-25.798948,8.088536,-33.795044,6.9407268,-34.006775,6.9118004,-34.133385,6.8745627,-34.218884,6.838844
d0.95lr0.1-14,8.976833,13.273522,22.090193,-42.970356,18.352747,-41.84659,15.463748,-42.103867,12.06237,-40.478897,10.647124,-39.93439,5.748961,-37.96446,5.6644855,-37.921745,3.006054,-32.974365,2.6005423,-32.19333,1.4046764,-29.658594,0.45770264,-27.363605,-0.4530354,-24.004772,-0.54443455,-23.017822,-1.9568671,-18.629726,-2.1031878,-18.029875,-4.2748303,-14.313663,-4.771387,-13.320056,-5.512152,-12.405341,-5.9378185,-12.002989,-7.271553,-6.49523,-7.4844475,-6.078975,-8.583028,-3.8918455,-8.918486,-3.2682745,-10.706829,0.07095839,-10.868379,0.3113103,-14.186601,5.4602923,-14.547545,5.8198256,-14.848358,6.0896606,-15.083885,6.2734694,-22.893229,12.336996,-23.303328,12.525204,-23.766407,12.707071,-24.170424,12.866414,-24.42097,12.941233,-24.678385,12.987271,-25.045193,12.999978,-32.84634,11.088454,-32.8664,11.09922,-32.854008,11.133111
d0.95lr0.1-15,23.080297,-0.5153609,22.1113,-43.401966,18.049643,-42.385807,15.911279,-42.47566,12.5908985,-40.97655,10.257307,-39.362415,8.98378,-36.20604,6.682825,-33.744045,5.8868365,-32.814537,3.5026042,-29.948345,2.9720006,-29.29958,0.5509713,-25.272251,0.45908955,-24.71856,0.0069649885,-20.849403,-0.05106321,-20.120886,0.51672095,-16.868002,0.5644608,-12.582612,0.54648316,-12.299438,0.42800716,-11.862977,-7.4459743,-8.118002,-7.7639112,-7.826377,-8.368224,-7.325808,-9.024027,-6.720223,-13.38791,-1.1506926,-13.6383705,-0.8944009,-13.925251,-0.6521129,-14.436082,-0.29483232,-14.88597,0.12623483,-18.111898,5.9889736,-18.408808,6.242521,-18.781776,6.591392,-19.067217,6.8809304,-25.174555,11.132558,-25.49389,11.28624,-25.853346,11.421135,-26.089546,11.49497,-32.148724,12.681384,-32.198563,12.686888,-32.214355,12.667224,-32.23546,12.651675
d0.95lr0.1-16,40.22893,-8.015487,22.216372,-43.019176,17.971348,-41.88506,15.8923,-42.02988,12.411981,-40.092133,8.934564,-39.38888,7.7495522,-38.935616,4.8009953,-35.94566,2.9892662,-34.16616,1.6590958,-31.117079,0.96908885,-30.104239,-0.5381716,-27.381926,-2.9289446,-24.04515,-3.1324975,-23.748451,-3.1510396,-17.91041,-3.2975926,-17.214203,-3.67172,-16.352552,-4.349133,-13.278125,-4.688429,-12.700134,-6.231038,-7.3806787,-7.744605,-5.3702607,-8.052494,-5.008613,-8.544432,-4.3345413,-10.013201,2.2345688,-10.255389,2.533608,-10.50184,2.7421136,-11.102123,3.2907727,-18.219954,9.564251,-18.534866,9.725068,-18.904556,9.868859,-19.196814,9.968585,-19.572727,10.04706,-19.805737,10.092969,-20.018764,10.1352415,-30.871819,4.8270907,-31.06703,4.8359375,-31.329987,4.8486514,-31.595213,4.8528247,-31.858412,4.85537,-32.060078,4.849752
d0.95lr0.1-17,-30.318966,108.06717,22.063667,-43.218376,17.878107,-42.866962,16.423903,-42.690243,11.971498,-39.485546,11.180386,-39.11933,7.085616,-36.901436,6.392088,-36.107418,3.9265933,-32.51438,3.7201438,-32.090908,3.130839,-27.609903,2.9471216,-27.041426,2.6901045,-24.4473,1.8091646,-19.636635,1.7776443,-19.424854,-2.6810906,-14.17839,-3.0047054,-13.614772,-3.1800725,-13.160307,-3.3460186,-8.193733,-3.4713972,-7.8271127,-5.0603333,-3.757039,-5.18406,-3.4202585,-8.127184,-0.06763218,-8.459853,0.19576038,-8.668856,0.3676521,-15.04775,7.4013186,-15.359868,7.5361795,-15.871222,7.7845187,-16.257942,7.982717,-16.563334,8.13055,-16.911304,8.308394,-23.4226,10.662981,-23.661648,10.708852,-23.918331,10.785678,-24.173513,10.852902,-31.015833,10.595775,-31.195124,10.596609,-31.373169,10.711796,-31.556988,10.926347,-31.650606,11.029071
d0.95lr0.1-18,31.81228,-16.632719,22.25695,-43.024773,18.548307,-42.369576,14.913214,-41.503307,12.736061,-40.20325,9.612793,-38.774406,9.099362,-38.45861,4.9250298,-37.018578,1.1860464,-33.758957,1.1706123,-33.578415,0.5937976,-29.493122,-0.11831494,-28.16347,-1.1201161,-25.033213,-2.36631,-21.210663,-2.5522273,-20.378664,-1.5730283,-14.341855,-1.5815187,-13.866589,-1.5667977,-13.331334,-2.0957623,-7.791759,-2.1764383,-7.4972367,-2.150188,-7.235503,-11.945146,-3.1162553,-11.996753,-3.0402694,-12.321184,-2.7461734,-12.571096,-2.5565107,-12.804602,-2.3780222,-15.909772,4.9306808,-16.116919,5.1305943,-16.32036,5.254944,-16.827341,5.480332,-22.890228,6.980793,-23.205202,7.067289,-23.506536,7.1305914,-23.931765,7.259216,-28.39662,10.219768,-28.819801,10.397695,-29.298903,10.631999,-29.555984,10.7490835,-29.76888,10.851178,-29.894072,10.926775
d0.95lr0.1-19,25.808475,9.455538,21.916422,-42.96286,18.858368,-42.31393,14.105939,-41.80216,12.902847,-41.50559,9.862138,-39.661995,8.497984,-35.69613,6.695234,-32.70331,6.154547,-31.801199,5.8832073,-31.164536,3.1374857,-25.85205,2.8746524,-25.475174,1.9766263,-22.24756,1.8546876,-21.66935,1.9612192,-21.111849,-0.96456844,-15.154482,-1.048292,-14.774731,-3.3941493,-10.75831,-3.7786849,-10.335991,-4.139838,-10.021418,-4.36409,-9.705641,-5.685437,-2.0313265,-5.8494544,-1.8599125,-10.477738,5.3883085,-10.7499275,5.648891,-11.1406555,6.061409,-11.497452,6.450477,-11.712421,6.689586,-20.903708,11.712209,-21.11128,11.725513,-21.294172,11.745412,-21.662777,11.806724,-26.858961,13.680441,-27.03538,13.687612,-27.419178,13.711739,-28.17227,13.775378,-28.63809,13.854759,-28.879068,13.888399,-29.128428,13.914194,-29.274948,13.922562
